pl_name,hostname,pl_refname,pl_pubdate,soltype,pl_controv_flag,default_flag,discoverymethod,disc_year,disc_telescope,disc_facility,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orblper,pl_orbincl,pl_imppar,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_masse,pl_msinie,pl_dens,pl_insol,pl_eqt,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tsystemref,pl_trandur,pl_rvamp,st_teff,st_rad,st_mass,st_met,st_radv,st_spectype,sy_jmag,sy_hmag,sy_kmag,sy_vmag,sy_gaiamag
"TOI-1347 c","TOI-1347","<a refstr=RUBENZAHL_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..153R/abstract target=ref>Rubenzahl et al. 2024</a>","2024-04","Published Confirmed",0,1,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",280.3266806,70.2900536,4.84196200000,0.00001200000,-0.00001200000,,,,0.000000,,87.50000,0.730000,1.60000000,0.10000000,-0.10000000,6.40000000,,,6.40000000,,4.100000,,1000.00,2458678.50590000,0.00210000,-0.00210000,"BJD",,2.59000,5464.00,0.830000,0.913000,0.0400,,,10.0110000,9.6830000,9.6160000,11.1680000,11.2087000
"TOI-1386 b","TOI-1386","<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>","2024-06","Published Confirmed",0,1,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",334.5041029,54.3190454,25.84010000000,0.00310000000,-0.00310000000,0.1730000000,0.0030000000,-0.0030000000,0.000000,90.0000,,0.293789,6.21638650,0.20643815,-0.16956970,45.80000000,5.80000000,-5.70000000,45.80000000,,1.040000,,615.03,2458752.32100000,0.00300000,-0.00300000,"BJD",5.6703771,9.70000,5735.00,1.023500,1.036300,0.1490,,,9.4780000,9.1240000,9.0860000,10.6100000,10.5069000
"TOI-1386 b","TOI-1386","<a refstr=HILL_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..151H/abstract target=ref>Hill et al. 2024</a>","2024-04","Published Confirmed",0,0,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",334.5041029,54.3190454,25.83839000000,0.00013000000,-0.00013000000,0.1732000000,0.0027000000,-0.0033000000,0.061000,-33.0000,89.69000,0.200000,6.05284958,0.20176165,-0.17934369,47.03860424,6.03873973,-5.72091133,47.03860424,47.03860424,1.160000,34.6800,676.40,2458752.32130000,0.00330000,-0.00340000,"BJD-TDB",5.6710000,10.00000,5793.00,1.015000,1.038000,0.1640,,"G5V",9.4780000,9.1240000,9.0860000,10.6100000,10.5069000
"TOI-1408 b","TOI-1408","<a refstr=GALAZUTDINOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.526L.111G/abstract target=ref>Galazutdinov et al. 2023</a>","2023-11","Published Confirmed",0,0,"Transit",2023,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",313.5110469,72.5806455,4.42471100000,0.00000160000,-0.00000160000,0.0580400000,0.0002000000,-0.0002000000,0.259000,305.2000,84.80100,,16.81347105,,,537.13000783,63.56568140,-63.56568140,537.13000783,,,,,,,,,,178.00000,6306.00,1.274000,1.331000,7.7900,,,8.3650000,8.1410000,8.0780000,9.2700010,9.1879500
"TOI-1408 b","TOI-1408","<a refstr=KORTH_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...971L..28K/abstract target=ref>Korth et al. 2024</a>","2024-08","Published Confirmed",0,1,"Transit",2023,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",313.5110469,72.5806455,4.42587000000,0.00003000000,-0.00003000000,0.0577800000,0.0001000000,-0.0001000000,0.002300,170.0000,82.40000,,25.00000000,4.00000000,-4.00000000,593.00000000,4.00000000,-4.00000000,593.00000000,,0.180000,,,2458740.85810000,0.00020000,-0.00020000,"BJD",1.6500000,,6117.00,1.530000,1.312000,0.2500,,"F8 V",8.3650000,8.1410000,8.0780000,9.2700010,9.1879500
"TOI-1410.01","TOI-1410","<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>","2024-06","Published Confirmed",0,1,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",334.8828486,42.5603141,1.21687000000,0.00003000000,-0.00003000000,0.0207000000,0.0004000000,-0.0004000000,0.000000,90.0000,,0.565234,3.10083009,0.22026793,-0.16123620,12.50000000,1.10000000,-1.00000000,12.50000000,,2.300000,,1236.70,2458739.72931000,0.00071000,-0.00071000,"BJD",1.1120799,8.67000,4635.00,0.755800,0.794100,0.3280,,,9.2510000,8.7050000,8.5770000,11.1110000,10.8746000
"TOI-1410.01","TOI-1410","<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>","2024-05","Published Confirmed",0,0,"Transit",2024,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",334.8828486,42.5603141,1.21683500000,,,0.0199444910,,,,,,,2.94363800,0.21852500,-0.21852500,,,,,,,565.5415,1396.13,,,,,1.0976300,,4634.60,0.778749,0.715108,,,,9.2510000,8.7050000,8.5770000,11.1110000,10.8746000
"TOI-1416 b","TOI-1416","<a refstr=DEEG_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..12D/abstract target=ref>Deeg et al. 2023</a>","2023-09","Published Confirmed",0,1,"Transit",2023,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",216.9234892,41.9529862,1.06975680000,0.00000280000,-0.00000280000,0.0190000000,0.0003000000,-0.0003000000,0.000000,,85.70000,0.390000,1.62000000,0.08000000,-0.08000000,3.48000000,0.47000000,-0.47000000,3.48000000,,4.500000,883.0000,1517.00,2458739.46210000,0.00080000,-0.00080000,"BJD-TDB",1.5000000,2.52000,4884.00,0.793000,0.798000,0.0800,1.17120,"G9 V",8.2660000,7.8150000,7.7080000,9.9100000,9.6525400
"TOI-1420 b","TOI-1420","<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>","2023-11","Published Confirmed",0,1,"Transit",2023,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",322.9418092,66.3490054,6.95610630000,0.00000170000,-0.00000170000,0.0710000000,0.0012000000,-0.0012000000,0.170000,-165.0000,88.58000,0.412000,11.89000000,0.33000000,-0.33000000,25.10000000,3.80000000,-3.80000000,25.10000000,,0.082000,139.0000,957.00,2459517.43305000,0.00012000,-0.00012000,"BJD-TDB",3.3720000,8.50000,5510.00,0.923000,0.987000,0.2800,,,10.5570000,10.1910000,10.1190000,11.6550000,11.7380000
"HD 235088 b","HD 235088","<a refstr=ORELL_MIQUEL_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A..56O/abstract target=ref>Orell-Miquel et al. 2023</a>","2023-09","Published Confirmed",0,0,"Transit",2023,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",300.6154535,53.3774418,7.43413930000,0.00000620000,-0.00000620000,0.0720000000,0.0026000000,-0.0026000000,,,88.75000,0.430000,2.04500000,0.07500000,-0.07500000,,,,,,,70.0000,805.00,2459798.46351000,0.00055000,-0.00055000,"BJD",2.7000000,,5037.00,0.789000,0.843000,-0.0100,,"K2 V",7.6460000,7.2240000,7.0840000,9.1900000,8.9427100
"HD 235088 b","HD 235088","<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>","2024-06","Published Confirmed",0,0,"Transit",2023,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",300.6154535,53.3774418,7.43415100000,0.00001800000,-0.00001800000,0.0710000000,0.0010000000,-0.0010000000,0.000000,90.0000,,0.395221,2.07506422,0.09254502,-0.07134197,4.20000000,2.40000000,-2.40000000,4.20000000,,2.580000,,753.95,2458713.08113000,0.00087000,-0.00087000,"BJD",2.6733754,1.53000,5087.00,0.798400,0.853100,0.1050,,,7.6460000,7.2240000,7.0840000,9.1900000,8.9427100
"HD 235088 b","HD 235088","<a refstr=NARDIELLO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..32N/abstract target=ref>Nardiello et al. 2025</a>","2025-01","Published Confirmed",0,1,"Transit",2023,"0.1 m TESS Telescope","Transiting Exoplanet Survey Satellite (TESS)",300.6154535,53.3774418,7.43413250000,0.00000420000,-0.00000440000,0.0706000000,0.0005400000,-0.0005500000,0.000000,,88.74000,0.435000,1.98200000,0.07200000,-0.06900000,4.15000000,0.83000000,-0.83000000,4.15000000,,2.922216,,,2458705.64614000,0.00062000,-0.00059000,"BJD",2.6730000,1.52000,5075.00,0.772000,0.849000,-0.0200,,"K V",7.6460000,7.2240000,7.0840000,9.1900000,8.9427100
